Company,companyName (linkedin),companyUrl (linkedin),activityArea (linkedin),confidence (linkedin),search company status,Company name (linkedin),Company universalName (linkedin),Company website (linkedin),Company linkedin url (linkedin),Company founded on (linkedin),Company tagline (linkedin),Company staff count range (linkedin),Company staff (linkedin),Company phone number (linkedin),Company country (linkedin),Company geographic area (linkedin),Company city (linkedin),Company postal code (linkedin),Company street address (linkedin),Company id (linkedin),Company associated hashtags (linkedin),Company industries (linkedin),Company specialities (linkedin),Company description (linkedin),Company followers (linkedin),Company funding rounds (linkedin),Company last funding money raised (linkedin),Company last funding announced on (linkedin),enrich companies status
Ephemeral Carbon,ephemeral carbon,https://www.linkedin.com/company/99236153,Environmental Services,1,Found,Ephemeral Carbon,ephemeral-carbon,https://ephemeralcarbon.com,https://www.linkedin.com/company/ephemeral-carbon,2023,Permanent carbon dioxide removal with rock weathering at sea,10-Feb,5,,US,CA,Santa Clara,95054,"3350 Scott Blvd, Bldg 16",99236153,,Environmental Services,"CDR, Carbon Dioxide Removal, Coastal Enhanced Weathering, Mineralization, Rock Weathering at Sea, Enhanced Rock Weathering, mCDR, Marine Carbon Dioxide Removal, Ocean Alkalinity Enhancement","Ephemeral is a Santa Clara, CA-based mCDR company that harnesses Oceanic Enhanced Weathering—also known as rock weathering at sea—to safely and permanently remove atmospheric carbon.

By accelerating the natural weathering of silicate rocks, we introduce naturally occurring minerals into shallow ocean waters. These minerals react with CO₂ in the seawater, transforming it into stable carbonates and bicarbonates, locking away carbon securely for over 100,000 years. Along the way, this process boosts ocean alkalinity, counteracting ocean acidification and supporting healthier, thriving marine ecosystems.

Join us in improving life above and below the surface. Together, we can remove CO₂ and restore our planet.
",423,,,,Found
Hourglass Climate,hourglass climate,https://www.linkedin.com/company/102655907,Research Services,1,Found,Hourglass Climate,hourglass-climate,http://www.hourglassclimate.org,https://www.linkedin.com/company/hourglass-climate,2024,"Conducting critical, independent research for the responsible development of marine CO2 removal strategies",Nov-50,12,,,,,,,102655907,,Research Services,,"The ocean is our greatest resource for capturing hard-to-abate, and historical, carbon emissions - a non-negotiable part of limiting climate warming to 2ºC.  Ocean Alkalinity Enhancement (OAE) via alkaline mineral addition has the potential for permanent, gigatonne-scale carbon removal. Targeted, independent, and integrated research that rapidly de-risks the key uncertainties on how to safely deploy mineral-based OAE techniques, while optimizing for fast and efficient carbon removal, is urgently needed to drive climate impact. To do just that, Hourglass brings together an ecosystem of scientists to conduct model, laboratory, and field research for the public benefit.",798,,,,Found
Pronoe,pronoe,https://www.linkedin.com/company/89292503,Environmental Services,0.33,Found,PRONOE,pronoe-earth,https://pronoe.earth,https://www.linkedin.com/company/pronoe-earth,2022,"Restoring the ocean's natural ability to permanently remove CO2 - in a sustainable, scalable and asset-light manner. ",10-Feb,15,,FR,,Paris,,"5 Parv. Alan Turing, 75013 Paris",89292503,"pronoe, carbonremoval, oceancdr",Environmental Services,,"Pronoe is a CO2 removal company. 
We restore the ocean’s natural ability to capture and permanently store CO2 from the air, in a sustainable, scalable and asset-light manner.
In practice, we design and deploy automated water treatment systems that seamlessly integrate downstream of the operations of coastal industrial sites. 
As a result, Pronoe’s activities generate high-quality CO2 removal certificates to customers, valorize otherwise wasted effluents, and locally mitigate ocean acidification. 
To the benefit of the climate, coastal communities and ecosystems, worldwide.",2272,1,,10/1/2023,Found
The Charles Darwin Rescue Plan,,,,,Not found,,,,,2021,,,,,,,,,,,,,,,,,,,
Tyka et al 2021,,,,,Not found,,,,,,,,,,,,,,,,,,,,,,,,
Skyology,skyology,https://www.linkedin.com/company/79434094,Renewable Energy Semiconductor Manufacturing,1,Found,Skyology,skyology,https://www.skyology.io/,https://www.linkedin.com/company/skyology,2021,We capture and store atmospheric CO2 while deacidifying the ocean and rebuilding coral reefs.,Nov-50,2,,US,,San Fransisco,,,79434094,"cdr, cdrocean, craboncapture",Renewable Energy Semiconductor Manufacturing,,Skyology is using ocean alkalinity enhancement(OAE) to capture and store atmospheric CO2 for thousands of years. Skyology uses AI and automation to guide the most metabolically efficient storage process to drastically offset top-performing companies' unavoidable emissions.,216,,,,Found
Vycarb,vycarb,https://www.linkedin.com/company/98334992,Climate Data and Analytics,1,Found,Vycarb,vycarb,https://www.vy-carb.com/,https://www.linkedin.com/company/vycarb,2022,"Instant, permanent, safe, and measurable CO2 capture, removal, and storage.
",Nov-50,17,,US,New York,Brooklyn,11251,19 Morris Ave,98334992,"watercarbon, climatechange, carbonremoval",IT Services and IT Consulting,,"Vycarb is a Brooklyn-based technology company developing tools for scalable, fully-measured CO2 capture, removal, and storage. Founded in 2022, Vycarb combines two unique technology innovations: a CO2 neutralization system that captures and stores CO2 as stable bicarbonate in water, and an advanced sensor that measures the full water carbon system autonomously in real time, enabling safe, permanent carbon sequestration in any water.",1696,2,,5/24/2024,Found
ACOTM,,,,,Not found,,,,,2020,,,,,,,,,,,,,,,,,,,
Climos Inc,,,,,Not found,,,,,2006,,,,,,,,,,,,,,,,,,,
Gigablue,gigablue,https://www.linkedin.com/company/93079493,Environmental Services,1,Found,Gigablue,gigabluecarbon,http://gigablue.co,https://www.linkedin.com/company/gigabluecarbon,2022,"Durable, Scalable, Responsible CDR",Nov-50,27,,US,NY,New York,10044,,93079493,,Environmental Services,,Restoring the global CO₂ balance by developing a unique marine carbon removal method that delivers optimum scale and quality at an affordable price. ,2427,2,,11/1/2023,Found
Light Induced Ocean Sequestration,,,,,Not found,,,,,,,,,,,,,,,,,,,,,,,,
Ocean lung,,,,,Not found,,,,,,,,,,,,,,,,,,,,,,,,
Oceanica,oceanica,https://www.linkedin.com/company/29121209,Consumer Services,0.25,Found,Oceanica,oceanica-group,http://www.oceanicasrilanka.com,https://www.linkedin.com/company/oceanica-group,1979,Delivering Excellence in Ice Production and Property Rentals Since 1979,201-500,7,777340011,LK,Western Province,Colombo 03,300,"490, Galle Road ",29121209,"propertyrental, blockice, oceanica",Consumer Services, ,"Oceanica Sri Lanka, established in 1979, is a reputable company with 45 years of experience in providing high-quality ice products and property rental services. Our offerings include block ice, ice sculptures, crushed ice, and colored ice, catering to diverse client needs. Additionally, we manage a range of properties, including office spaces, warehouses, commercial buildings, apartments, and guest houses, all furnished with essential amenities at competitive rates. Our mission is to deliver consistent, skilled, and capable services, aiming to become the leading block ice producer and property rental service in the industry.",176,,,,Found
OPR Alaska Inc,,,,,Not found,,,,,2012,,,,,,,,,,,,,,,,,,,
OPR New England,,,,,Not found,,,,,,,,,,,,,,,,,,,,,,,,
Pasture Partners,,,,,Not found,,,,,,,,,,,,,,,,,,,,,,,,
The Blue Carbon Factory,,,,,Not found,,,,,2009,,,,,,,,,,,,,,,,,,,
Planeteers,planeteers,https://www.linkedin.com/company/98064288,Climate Technology Product Manufacturing,0.17,Found,Planeteers,planeteersgmbh,,https://www.linkedin.com/company/planeteersgmbh,2022,We capture CO2 in water and unleash the potential of the oceans as the largest carbon sink on our planet.,10-Feb,23,,DE,HH,Hamburg,22769,Eimsbütteler Straße,98064288,,Renewable Energy Semiconductor Manufacturing,,We capture CO2 in water and unleash the potential of the oceans as the largest carbon sink on our planet.,1729,1,,7/31/2024,Found
Minerali,minerali,https://www.linkedin.com/company/106311835,Climate Technology Product Manufacturing,0.2,Found,Minerali,minerali,http://minerali.io,https://www.linkedin.com/company/minerali,,A direct air carbon capture company focused on scalable decarbonization,10-Feb,1,,US,MA,Cambridge,,,106311835,,Renewable Energy Semiconductor Manufacturing,,"Minerali is an MIT climate tech spin-off from focused on simple, efficient, and cost-effective direct air carbon capture technology by harnessing our largest and most abundant resource, the ocean.",4,,,,Found
Banyu Carbon,banyu carbon,https://www.linkedin.com/company/89770275,Environmental Services,1,Found,Banyu Carbon,banyu-carbon,https://www.banyucarbon.com,https://www.linkedin.com/company/banyu-carbon,2022,Capturing Carbon With Light,10-Feb,12,,US,Washington,Seattle,98195,4000 Mason Rd,89770275,"banyucarbon, carboncapture",Environmental Services,"Carbon Capture, Marine Carbon Dioxide Removal, Carbon Management, Carbon Capture and Storage","Banyu Carbon is developing a light-driven approach to carbon capture that promises to be cheaper and require less energy than competing technologies. 

Decarbonizing the global economy is the Apollo Moon Shot of this century. Every serious plan to keep global temperatures below dangerous limits requires carbon removal at the scale of billions of tons of CO2 per year. But a giant gap exists between this pressing need and existing carbon removal capabilities that are costly, energy intensive, and have a capacity 10,000x too small. 

Unlike nature-based approaches to carbon capture, Banyu Carbon is developing a process that produces a pure stream of CO2 for easily verified carbon credits to companies and governments. 

The Banyu Carbon process uses the surface ocean as a vast collector for atmospheric CO2 and then removes the accumulated carbon through energy efficient photochemical reactions. Seawater naturally concentrates CO2 from the atmosphere. Removing this carbon from the surface ocean withdraws a commensurate amount of CO2 from the air because of rapid equilibration. Because the atmosphere rapidly mixes carbon emissions from across the globe and then the oceans readily absorb this extra carbon, the Banyu Carbon process would reduce atmospheric CO2 no matter where the emissions occurred. 

Banyu Carbon seeks to be a leader in a carbon capture market expected to grow to $100 billion by 2030.",1946,2,6500000 USD,9/22/2022,Found
Carbon Blue,carbon blue global,https://www.linkedin.com/company/79877585,Civil Engineering,0.25,Found,Carbon Blue Global,carbonblueglobal,https://www.carbonblueglobal.com/,https://www.linkedin.com/company/carbonblueglobal,2011,Experts in Engineering Services,Nov-50,45,+974 7048 5638,QA,,doha,,"Building #24, zone 26,street 940, ",79877585,"quantitytakeoff, billofquantity, quantitysurveyor",Civil Engineering,"BOQ preparation, Value engineering, Technology, Quantity Takeoff, Estimation, Contract management, Quantity Surveying, Low cost, 3T QC checking, Design, Interior design, Structural , MEP, Corporate training, Tendering, QS, 3D , Architectural design, Civil Engineering","We are a customer obsessed global design & engineering services consulting firm. 

We deliver our services at globally competitive price points. We serve architects, contractors and PMCs across Middle East, EU and Americas.",6001,,,,Found
CO22Clean,,,,,Not found,,,,,2021,,,,,,,,,,,,,,,,,,,
SeaO2,seao2,https://www.linkedin.com/company/79994007,Environmental Services,0.25,Found,SeaO2,seao2-io,https://www.seao2.com,https://www.linkedin.com/company/seao2-io,2021,Leveraging the ocean’s carbon removal power! 🌊🌍,10-Feb,14,,NL,,Amsterdam,,,79994007,,Environmental Services,,Leveraging the ocean’s carbon removal power! 🌊🌍,4502,1,2174859 USD,11/4/2024,Found
Captura,captura,https://www.linkedin.com/company/80263304,Environmental Services,0.13,Found,Captura,capturaco2,https://capturacorp.com,https://www.linkedin.com/company/capturaco2,2021,Harnessing the power of the ocean to heal the climate.,51-200,85,,US,California,Pasadena,,,80263304,"climatechange, carboncapture, oceanconservation",Environmental Services,,"The ocean is an immensely powerful force of nature, and our greatest ally to reverse the tides on climate change. By studying the planet’s natural cycles, Captura designed a solution that removes CO2 from the ocean and harnesses its ability to heal the climate—a process known as Direct Ocean Capture.

Developed and proven in Caltech’s laboratories, our unique Direct Ocean Capture technology runs with just two ingredients: seawater and renewable electricity. It extracts CO2 directly from seawater to be permanently stored or reused. This amplifies the natural equilibrium between the ocean and atmosphere, drawing carbon out of the air and into the ocean to rebalance. 

Captura’s approach requires no rare-Earth minerals, adds nothing to the ocean, and leaves no chemicals behind. It’s a low-cost, large-scale carbon removal solution that is environmentally sound. ",13868,3,21500000 USD,1/22/2024,Found
1point8,1point8 ,https://www.linkedin.com/company/67190617,Environmental Services,1,Found,1point8 ,1point8-trees,https://1point8.de/,https://www.linkedin.com/company/1point8-trees,2022,"We develop scalable, fast and cost-effective technologies to increase the global CO2 absorption potential.",10-Feb,2,,,,,,,67190617,,Environmental Services,,"We develop scalable, fast and cost-effective technologies to increase the global CO2 absorption potential.",136,,,,Found
Azolla proxima,,,,,Not found,,,,,,,,,,,,,,,,,,,,,,,,
Blue Symbiosis,blue symbiosis,https://www.linkedin.com/company/76989036,Renewables & Environment,1,Found,Blue Symbiosis,blue-symbiosis,http://www.bluesymbiosis.com,https://www.linkedin.com/company/blue-symbiosis,2021,"Biodiversity, AI, Web 3, Assembly",10-Feb,3,,,,,,,76989036,xprize,Renewable Energy Semiconductor Manufacturing,,"**STEALTH**
Bringing creativity and systems thinking to difficult problems.",122,,,,Found
Cascadia Seaweed,cascadia seaweed,https://www.linkedin.com/company/20353915,Manufacturing,1,Found,Cascadia Seaweed,cascadia-seaweed,http://www.cascadiaseaweed.com,https://www.linkedin.com/company/cascadia-seaweed,2019,Boosting plant yields and improving animal health with high-quality agricultural products made our cultivated kelp.,Nov-50,24,7783514484,CA,BC,Sidney,V8L 0C5,,20353915,"futureoffood, weareseaweed, bcbusiness",Manufacturing,"food production, ecosystem services, kelp cultivation, agrifeed supplements","Cascadia Seaweed, founded in 2019, is a vertically integrated AgTech Company dedicated to addressing climate change and food security. 

We cultivate local species of seaweed on low-impact ocean farms in partnership with coastal First Nations. We then harvest that seaweed and manufacture agricultural products for land-based farmers that increase yields and reduce emissions.

As a certified B Corp and registered Benefit Company in British Columbia, we are committed to building a profitable and scalable business that our team members, shareholders, and business partners can take pride in.",6383,5,2860105 USD,11/21/2024,Found
Caspianstar,,,,,Not found,,,,,,,,,,,,,,,,,,,,,,,,
Cequest ocean carbon,,,,,Not found,,,,,2021,,,,,,,,,,,,,,,,,,,
Innonep ocean,,,,,Not found,,,,,2016,,,,,,,,,,,,,,,,,,,
Kelp Blue,kelp blue,https://www.linkedin.com/company/34749168,Environmental Services,1,Found,Kelp Blue,kelp-blue,http://kelp.blue,https://www.linkedin.com/company/kelp-blue,2020,Re-wilding the oceans,Nov-50,88,,NL,,Amsterdam/Luderitz,,,34749168,kelpblue,Environmental Services,"Ocean Farming, Giant Kelp, Carbon Drawdown, Sustainable Business, Nature Based Solutions, Blue Water Farming, Carbon Sequestration, Biostimulants, Seaweed, Seaweed StartUp, Aquaculture, blendedfinance, goldenforests, offshoreengineering, kelpcultivation, processengineering, ecosystem services, agrifoods, sustainability","We grow giant kelp forests around the globe to boost the health of the oceans and to store  CO2. We harvest only the kelp canopy. From this we make biostimulants, a product that allows farmers to drastically reduce the use of synthetic fertilizers. 
Biostimulants increase:
-plants ability to tolerate climactic stress and 
-yields.

WHAT’S THE PROBLEM? 
Per year, humanity is using natural capital 1.7 times as fast as Earth can renew it.   For our futures sake, this must change. 
Cost-effective, long term and environmentally sustainable alternatives must be found to restore the planet to equilibrium, or even abundance.

Why is Kelp Blue an answer? 
Giant Kelp one of the fastest growing organism on the planet and is well suited for use in a range of products from high quality pharma/neutraceuticals to fertiliser, animal feed, dietary supplements and textiles. Growing the marketplace for existing kelp products as well as using giant kelp derivatives to displace environmentally damaging alternatives will help restore the planets equilibrium; growing kelp requires no fertilisers, no pesticides, no land and no fresh water.  
But more importantly, it has the ability to draw down more CO2 than terrestrial forests while boosting marine biodiversity and improving fish stocks.   

Why KELP BLUE? 
We are passionate about scaling a profitable nature-based solution that will help reverse climate change.  Our model can quickly grow across  different markets helping to change the course of multiple industries from being environmentally damaging to being environmentally positive.",15804,,,,Found
KFC KelpFarmCareer,,,,,Not found,,,,,,,,,,,,,,,,,,,,,,,,
Marine Bioenergy Inc,,,,,Not found,,,,,2020,,,,,,,,,,,,,,,,,,,
Marine Permaculture Seaforestation,,,,,Not found,,,,,2022,,,,,,,,,,,,,,,,,,,
Ocean ERA,ocean era,https://www.linkedin.com/company/3532454,Research Services,1,Found,Ocean Era,kampachi-farms,http://www.ocean-era.com,https://www.linkedin.com/company/kampachi-farms,2012,Ocean Era is a Hawaii-based mariculture company focused on softening humanity's footprint on the seas.,10-Feb,7,,US,Hawaii,Kailua-Kona,96745,PO Box 4239,3532454,,Research Services,"Aquaculture, Food, Feed research, Aquaculture technology, Sustainability, Just generally awesome",Ocean Era (formerly Kampachi Farms) is a Hawaii-based mariculture company focused on softening humanity's footprint on the seas. ,1138,,,,Found
Seagrown,seagrown,https://www.linkedin.com/company/18709791,Environmental Services,1,Found,SeaGrown,seagrown,http://www.seagrown.co.uk,https://www.linkedin.com/company/seagrown,2018,"Pioneering open-water seaweed cultivation to restore ocean health, combat climate change and grow a sustainable future.",Nov-50,14,4.47464E+11,GB,North Yorkshire,Scarborough,YO11 1PD,Scarborough Harbour,18709791,"seaweed, seagrown, innovation",Environmental Services,"Biodiversity Enhancement, Seaweed Cultivation, Ocean Revival","SeaGrown was born from a love of the sea.  We are bringing you a flavour of the sea using locally sourced, sustainably grown or hand-harvested seaweeds for health and nutrition.  Our seaweeds use nothing but sunlight to grow, they are delicious and filled with essential nutrients, minerals and omega 3.  They are healthy for any diet and are especially beneficial to vegetarians and vegans.  We use our seaweed to produce a range of food, bath and cosmetic products, all of which will add some ocean vitality to your life.

SeaGrown - unlocking the ocean's best kept secret. ",2488,,,,Found
Seaplanta,,,,,Not found,,,,,,,,,,,,,,,,,,,,,,,,
Sinkit,sinkit,https://www.linkedin.com/company/86588051,Business Consulting and Services,0.5,Found,Sinkit,sinkit,http://www.sinkit.org,https://www.linkedin.com/company/sinkit,2022,The carbon ecosystem specialist. We develop and accelerate natural and man-made carbon removal solutions.,10-Feb,7,,NL,,Rotterdam,,,86588051,"carboncapture, netzero, carboncredits",Business Consulting and Services,"carbon removal, CCS, BECCS, carbon offsets, carbon removal credits, Blue Carbon, carbon sinks, carbon cycle","Sinkit is on a mission to restore the carbon cycle and stabilize our climate by removing CO2 from the atmosphere. Our goal is to realize at least 55 carbon removal projects by 2030. Together with our partners, we develop and accelerate natural and technological carbon removal solutions. We help companies achieve net zero with transparent and traceable carbon offsets, and we aim to raise awareness globally. Sinkit is a cooperative organization, which means everyone who shares our vision and mission can become a member and invest in Sinkit projects.

Visit us on sinkit.org to find out more.",1099,,,,Found
Southern Ocean Carbon,,,,,Not found,,,,,2020,,,,,,,,,,,,,,,,,,,
The Seaweed Company,the seaweed company,https://www.linkedin.com/company/33246249,Food and Beverage Services,1,Found,The Seaweed Company,theseaweedcompany,http://www.TheSeaweedCompany.com,https://www.linkedin.com/company/theseaweedcompany,2018,"Growing a Tasty and Sustainable Food System
",Nov-50,28,,NL,North Holland,Hoofddorp,2132 JX,Polarisavenue 130,33246249,"bluefarming, seaweed, theseaweedcompany",Food and Beverage Services,,"Imagine a world in which our food system is healthy, sustainable, and working with the natural world rather than against it.

The problem? Currently, our way of producing and consuming food tends to work against nature, rather than with it. The extent of our meat consumption negatively impacts land, water, emissions, and even our own health.

Our solution? Seaweed! Seaweed is one of the fastest growing biomass in the world, flourishing without using land, fresh water, or fertilizer – a true superhero! 
At The Seaweed Company, we build a network of unique biological and technological expertise to grow and harvest seaweed, which we process and turn into highly scalable seaweed solutions with positive impact.

Let us introduce you to SeaMeat® - our premium seaweed blend, which can be integrated into meat products to create an exciting, more sustainable, and healthier product... with enhanced juiciness, flavour, and texture.

In short – we believe that a more livable future for our entire ecosystem is possible, and that seaweed plays a major role in this. It’s time to put nature first! ",14123,1,,3/29/2022,Found
Umaro Foods,umaro foods,https://www.linkedin.com/company/80172249,Food and Beverage Services,1,Found,Umaro Foods,umaro-foods,https://www.umarofoods.com/,https://www.linkedin.com/company/umaro-foods,2018,We are building a food system that supports a wild and thriving planet. Starting in a surprising place–the ocean.,10-Feb,5,,,,,,,80172249,,Food and Beverage Services,,Delicious based protein from the ocean.,2647,3,1800000 USD,3/6/2024,Found
Viridos,viridos,https://www.linkedin.com/company/85962,Biotechnology Research,0.5,Found,Viridos,viridosinc,https://viridos.com,https://www.linkedin.com/company/viridosinc,2005,See how algae moves us.,51-200,63,,US,CA,La Jolla,92037,11149 N Torrey Pines Rd,85962,"sustainability, biofuels, algae",Biotechnology Research,"Synthetic Biology, Fermentation, Next Generation Genomics, Bioprocessing, Bioinformatics, Cell Optimization, Biodiscovery, Advanced Engineering, Gene Editing, Cell Engineering, Scale-up, Algae Biofuels, Algae","Viridos is a privately held biotechnology company harnessing the power of photosynthesis to create transformative solutions to mitigate climate change. Our unparalleled understanding of algal genetics and ability to translate innovation from lab to field underpins our initial deployment: a scalable platform to produce low-carbon intensity biofuels for aviation, commercial trucking, and maritime shipping. Building on a legacy of genomic firsts, our team of scientists and engineers are shaping new pathways toward a sustainable bioeconomy. To learn more, visit us at Viridos.com. ",13309,,,,Found
Kepler carbon recapture team,,,,,Not found,,,,,2021,,,,,,,,,,,,,,,,,,,
Thalasso Ocean,,,,,Not found,,,,,2020,,,,,,,,,,,,,,,,,,,
Amazinggreatlight,,,,,Not found,,,,,,,,,,,,,,,,,,,,,,,,
Atrium,atrium,https://www.linkedin.com/company/19534,Staffing and Recruiting,0.13,Found,Atrium,atrium,https://www.atriumglobal.com,https://www.linkedin.com/company/atrium,1994,Empowering Organizations Through Modern Workforce and Talent Solutions.,201-500,1293,,US,NY,New York,10016,387 Park Ave S,19534,"careercolumn, atriumatwork",Staffing and Recruiting,"Staffing & Recruitment, MSP, Payrolling Services, Intern Program Design, Temp, Independent Contractor Compliance, Administrative Support, Scientific & Clinical, Jobs, Finance & Accounting, Creative, Woman-Owned, WBENC, Product Development, Interim Solutions, Workforce Solutions, Talent Acquisition, Talent Management, Hiring, HR Management, Human Resources, Customer Service, Supply Chain & Operations, Direct Hire, Direct Sourcing, Real Estate, Marketing, IT, Information Technology, Real Estate, Retail, Fashion & Lifestyle","Atrium is a global WBENC-certified Talent Solutions and Extended Workforce Management leader. For nearly three decades, our customized services have provided the world’s largest brands access to top talent and helped organizations optimize their extended workforce programs to maximize results.

Guided by our Applicant-Centric™ philosophy, we approach hiring from the perspective of the candidate. We build lasting relationships and find our applicants jobs they love by getting to know them and listening to what truly motivates them. This philosophy attracts higher-quality candidates, leading to long-lasting placements and satisfied clients around the world.",185370,,,,Found
CyanoCapture,cyanocapture,https://www.linkedin.com/company/76980640,Biotechnology,1,Found,CyanoCapture,cyanocapture,http://www.cyanocapture.com,https://www.linkedin.com/company/cyanocapture,2021,Scalable carbon capture technology.,Nov-50,17,,GB,England,Oxford,OX3 7XB,Roosevelt Drive,76980640,,Biotechnology Research,"biotechnology, carbon capture","Our mission is to provide affordable carbon capture on an industrial scale by harnessing genetically modified cyanobacteria. 

Enquiries: 
Partnerships@cyanocapture.com
Licensing@cyanocapture.com",4505,1,,5/1/2023,Found
Monash carbon capture and conversion Biotech,,,,,Not found,,,,,2021,,,,,,,,,,,,,,,,,,,
Angel Sharks,,,,,Not found,,,,,,,,,,,,,,,,,,,,,,,,
AI Control Technologies,ai control technologies,https://www.linkedin.com/company/18945524,Maritime,1,Found,Ai Control Technologies,ai-control-technologies,,https://www.linkedin.com/company/ai-control-technologies,2016,Autonomous Buoyancy Engines supporting the $2.5 trillion Ocean Economy,10-Feb,4,,US,FL,Boca Raton,33472,,18945524,,Maritime Transportation,,"Building autonomous buoyancy/depth control systems for diving and various offshore energy, construction, military and aquaculture applications.
",70,2,100000 USD,11/1/2021,Found
Hortimare,hortimare,https://www.linkedin.com/company/624667,Biotechnology Research,1,Found,Hortimare,hortimare,http://www.hortimare.com,https://www.linkedin.com/company/hortimare,2008,"Seeds, technology and expertise to bring your seaweed initiative to life",Nov-50,28,+31 72 888 8767,NL,,Heerhugowaard,1704 CC,Altonstraat 25A,624667,"seaweed, hortimare, zeewier",Biotechnology Research,,"Hortimare is a company with activities and products from seed source to efficient deployment. We support your seaweed initiative with 5 key areas; Seed Supply, New Species Domestication, Breeding Programs, Technical Support and Ecosystem Services. 

Seed Supply
Our starting material allows seaweed farmers to scale up and specialise. With reliable deliveries and tailored advice, we ensure this will not be the bottleneck to reaching improved yields and profitability.

New Species Domestication
At Hortimare, we bridge the gap between research and large-scale production, focusing on the domestication of commercially valuable species.

Breeding Programs
We strive to supply the right varieties to build a healthy business case for seaweed farming. Breeding programs are time-consuming and labor-intensive, but a proven way forward to build a healthy industry.

Technical Support
We have managed to successfully design, build and operate a variety of hatchery and nursery systems, proven to produce and deploy seed material across multiple seaweed species.

Ecosystem Services
Ecosystem services are more than just increasing biodiversity. The impact that global kelp forests have for the environment and people is in excess of 500 billion USD annually.",2077,,,,Found
North Sea Farmers,north sea farmers,https://www.linkedin.com/company/5284254,Non-profit Organizations,1,Found,North Sea Farmers,northseafarmers,https://www.northseafarmers.org/,https://www.linkedin.com/company/northseafarmers,2011,North Sea Farmers is the European Seaweed Association,10-Feb,10,,NL,South Holland,The Hague,2518 AD,Zeestraat 84,5284254,"northseafarmers, seaweedstories",Non-profit Organizations,"Seaweed Production, Processing, Biorefinery, Food, Feed, Biomaterials, Biostimulants, Cosmetics, Co-use, Multi-use, Offshore Wind Farms, Offshore, North Sea",North Sea Farmers is the European Seaweed Association. Our mission is to empower the European seaweed industry via 1) representation and 2) supporting the over 130 members in the NSF network,6336,1,1678665 USD,9/24/2024,Found
Ocean Foresters,,,,,Not found,,,,,2009,,,,,,,,,,,,,,,,,,,
Seaforester,seaforester,https://www.linkedin.com/company/85611659,Environmental Services,1,Found,SeaForester,seaforester,https://seaforester.org/,https://www.linkedin.com/company/seaforester,2016,SeaForester is an environmental impact company dedicated to restoring the forgotten forests in our Ocean.,10-Feb,7,,PT,Cascais,Estoril,2765-253,Rua Melo e Sousa,85611659,"kelp, seaforestation, seaweed",Environmental Services,,"Seaweed forests around the world are disappearing at an alarming rate. SeaForester started in 2016 with the mission to “restore the forgotten forests in our ocean”. SeaForester has over the years been involved in a number of research projects and seaweed restoration actions in Europe and elsewhere.  The SeaForester team consists of an international group of employees and advisors with broad experience in seaweed cultivation, seaweed restoration, and business.  ",1819,,,,Found
Oceans 2050 seaweed carbon farming,,,,,Not found,,,,,,,,,,,,,,,,,,,,,,,,
Coastal Carbon,coastal carbon,https://www.linkedin.com/company/86718338,Environmental Quality Programs,0.33,Found,Coastal Carbon,coastal-carbon,https://coastalesw.wordpress.com/,https://www.linkedin.com/company/coastal-carbon,,Investigating the potential for CO₂ drawdown in coastal environments,10-Feb,0,,BE,Flemish Region,Antwerp,2610,Universiteitsplein 1,86718338,coastalcarbon,Government Administration,,"Preventing the release of CO2 and other greenhouse gases to the atmosphere is crucial. Yet, lowering emissions alone will not be sufficient to meet the set climate targets. We must also investigate approaches that actively remove CO2 from the atmosphere.

Coastal enhanced silicate weathering as a negative emissions technology uses the natural process of silicate weathering for the removal of CO2 from the atmosphere. Not only does this technique increase the CO2 sequestration capacity of our oceans, it also counteracts ocean acidification and can be directly integrated into existing coastal management programs.

However, so far there has not yet been a rigorous assessment of the CO2 sequestration efficiency and environmental impact of enhanced silicate weathering. This project addresses these critical bottlenecks. The Coastal Carbon project investigates the potential of enhanced silicate weathering in coastal environments by studying the processes at those locations where silicate weathering is naturally occurring and by operation of a large scale mesocosm setup.

Coastal Carbon is an interdisciplinary research project executed in collaboration between three Belgian universities, Flemish and Belgian research institutes and commercial partners: University of Antwerp, Flanders Marine Institute (VLIZ), Ghent University, DEME, Sibelco, CO2-Logic, Royal Belgian Institute of Natural Sciences and the Research Foundation – Flanders (FWO) as our funding agency .",40,,,,Found
CWorthy,cworthy marine,https://www.linkedin.com/company/101719114,Maritime Transportation,1,Found,CWorthy Marine,cworthy-marine,https://cworthymarine.com.au/,https://www.linkedin.com/company/cworthy-marine,2009,Australia's largest authorized value-add distributor for the Bayliner and Trophy world-class and iconic marine brands ,Nov-50,2,755800905,AU,Queensland,Coomera,4209,200 Beattie Rd,101719114,,"Transportation, Logistics, Supply Chain and Storage",,"As the largest authorized Bayliner and Trophy dealer in Australia, you can view a large range of models on display and in comfort at our indoor showroom located within the state-of-the-art Boat Works Marina. 

We offer complementary on water handover and tuition for all new and used boat purchasers giving you total piece of mind when out on the water.

Through our authorized Mercury Marine Support centre we can also customize your boat with options such as fish finders, fishing rod holders, bait boards and storage covers.
Not only is C Worthy Marine the home of Bayliner, our service department can look after any make and model of vessels.",19,,,,Found
atdepth MRV,,,,,Not found,,,,,,,,,,,,,,,,,,,,,,,,
Oceanid MRV,,,,,Not found,,,,,,,,,,,,,,,,,,,,,,,,
